id,sentence,target,target_index,target_lemma,target_pos,label
a1h-fragment06_117_32,"He was President of FISA ( Federation Internationale des Societes d'Aviron ) , the world governing body , for 30 years ; and most of this body 's attitudes and practices reflect the force of his strict , but genial personality .",reflect,32,reflect,VERB,1
a1h-fragment06_118_4,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",encountered,4,encounter,VERB,0
a1h-fragment06_118_10,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",bellowing,10,bellow,VERB,1
a1h-fragment06_118_18,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",broken,18,break,VERB,1
a1h-fragment06_118_22,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",designed,22,design,VERB,1
a1h-fragment06_118_24,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",make,24,make,VERB,1
a1h-fragment06_118_25,"Most athletes first encountered him as a voice , bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair .",racing,25,racing,NOUN,0
a1h-fragment06_119_3,He was elected to succeed Gaston Mullegg as President of FISA when he was 33 and still competing in the Swiss rowing team .,elected,3,elect,VERB,0
a1h-fragment06_119_5,He was elected to succeed Gaston Mullegg as President of FISA when he was 33 and still competing in the Swiss rowing team .,succeed,5,succeed,VERB,0
a1h-fragment06_119_18,He was elected to succeed Gaston Mullegg as President of FISA when he was 33 and still competing in the Swiss rowing team .,competing,18,compete,VERB,0
a1h-fragment06_120_4,He did not loosen his links with the athletes when projected upwards into the Presidency .,loosen,4,loosen,VERB,1
a1h-fragment06_120_11,He did not loosen his links with the athletes when projected upwards into the Presidency .,projected,11,project,VERB,1
a1h-fragment06_121_1,"Provided their behaviour was sportsmanlike and safe , oarsmen found only encouragement and humour from a President who was always among them .",Provided,1,provide,VERB,0
a1h-fragment06_121_10,"Provided their behaviour was sportsmanlike and safe , oarsmen found only encouragement and humour from a President who was always among them .",found,10,find,VERB,1
a1h-fragment06_122_5,"Keller 's Zurich upbringing made him into a skiier and sculler , and he raced for the Grasshopper club .",made,5,make,VERB,1
a1h-fragment06_122_15,"Keller 's Zurich upbringing made him into a skiier and sculler , and he raced for the Grasshopper club .",raced,15,race,VERB,0
a1h-fragment06_123_2,He competed for the Swiss cross-country and ski-jumping team at the Student Winter Games and later concentrated on single sculls .,competed,2,compete,VERB,0
a1h-fragment06_123_17,He competed for the Swiss cross-country and ski-jumping team at the Student Winter Games and later concentrated on single sculls .,concentrated,17,concentrate,VERB,0
a1h-fragment06_124_10,"In 1950 , he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family 's private multinational company , Eduard Keller Ltd , for four years .",finished,10,finish,VERB,0
a1h-fragment06_124_17,"In 1950 , he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family 's private multinational company , Eduard Keller Ltd , for four years .",moving,17,move,VERB,0
a1h-fragment06_124_21,"In 1950 , he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family 's private multinational company , Eduard Keller Ltd , for four years .",work,21,work,VERB,0
a1h-fragment06_125_15,"On his return , Keller was Swiss champion again in 1955 and was bitterly disappointed when the Swiss chose to boycott the 1956 Olympics after the Russian intervention in Hungary .",disappointed,15,disappointed,ADJ,0
a1h-fragment06_125_19,"On his return , Keller was Swiss champion again in 1955 and was bitterly disappointed when the Swiss chose to boycott the 1956 Olympics after the Russian intervention in Hungary .",chose,19,choose,VERB,0
a1h-fragment06_126_9,FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas .,organised,9,organise,VERB,1
a1h-fragment06_126_15,FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas .,participated,15,participate,VERB,1
a1h-fragment06_127_12,"As a rich , forceful young man , Keller had been earmarked as a likely future president , even before Mullegg was killed in an aircrash in 1958 .",earmarked,12,earmark,VERB,1
a1h-fragment06_127_23,"As a rich , forceful young man , Keller had been earmarked as a likely future president , even before Mullegg was killed in an aircrash in 1958 .",killed,23,kill,VERB,0
a1h-fragment06_128_3,Rowing was transformed in the breadth and depth of participation over the 30 years of his term .,transformed,3,transform,VERB,0
a1h-fragment06_129_2,He sat on the appropriate boards of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years .,sat,2,sit,VERB,1
a1h-fragment06_130_5,These positions were not held for his own status but to promote the cause of rowing where it needed clout .,held,5,hold,VERB,1
a1h-fragment06_130_12,These positions were not held for his own status but to promote the cause of rowing where it needed clout .,promote,12,promote,VERB,0
a1h-fragment06_130_19,These positions were not held for his own status but to promote the cause of rowing where it needed clout .,needed,19,need,VERB,1
a1h-fragment06_131_3,"He successfully defended rowing as an Olympic sport and in 1976 introduced women 's events , which have now expanded to six classes .",defended,3,defend,VERB,1
a1h-fragment06_131_12,"He successfully defended rowing as an Olympic sport and in 1976 introduced women 's events , which have now expanded to six classes .",introduced,12,introduce,VERB,1
a1h-fragment06_131_20,"He successfully defended rowing as an Olympic sport and in 1976 introduced women 's events , which have now expanded to six classes .",expanded,20,expand,VERB,1
a1h-fragment06_132_8,His personal preference for sculling over rowing assisted the introduction of quadruple sculls to world championship and Olympic competition .,assisted,8,assist,VERB,1
a1h-fragment06_133_3,"Keller was made a Steward of Henley Royal Regatta in 1976 , a time when the proliferation of new six-lane , still-water courses around the world , which had emerged under his guidance , seemed a threat to the regatta founded in 1829 .",made,3,make,VERB,1
